scope,source_projects,question,answer
single_project,FP090,Why is a fall in diesel prices expected to have limited impact on the project?,"Tongaâ€™s renewable energy transition is based on energy security, stability, independence, and local environmental benefits, so a diesel price drop is expected to have low or very low impact on overall project performance."
single_project,FP090,How will the project reduce greenhouse gas emissions?,"The project will reduce emissions by displacing electricity produced from diesel with electricity produced from renewable energy technologies, supported by battery energy storage and grid improvements."
single_project,FP090,What is the final goal for greenhouse gas emissions reduced or avoided?,"340,395 tCO2eq"
single_project,FP090,What battery energy storage capacity will the project install to support renewable energy integration on Tongatapu?,10.1 MW/19.9 MWh
single_project,FP090,"What grid-connected renewable energy capacity will the battery storage help enable on Tongatapu, and how is it divided in solar and wind power capacity?","7.8 MW, with 4 MW of solar power and 3.8 MW of wind power."
single_project,FP090,What renewable energy and battery storage capacity will be installed in the outer islands?," 1.15 MW of renewable energy generation capacity, 1.40 MWh battery energy storage"
single_project,FP090,What is the final target value of physical assets made more resilient to climate variability?,"53,200,000 USD"
single_project,FP090,What is the expected number of power purchase agreements with independent power producers?,3
single_project,FP090,What is the expected proportion of women in training sessions?,30%
single_project,FP090,What proportion of the low-emission power supply does this project aim to reach?,50%
single_project,FP090,How many individuals are expected to gain improved access to low-emission energy sources?,"15,000"
single_project,FP090,What are the final targets for renewable energy and battery storage capacity installed?," 8.95 MW of renewable energy, 10.1 MW of battery energy storage, and 22.2 MWh of battery energy storage."
single_project,FP090,How will solar power generation change the electricity generation mix?,"The project will shift installed generation capacity from 2.86 MW with diesel over 78% to 3.51 MW with diesel below 64%, and reduce diesel electricity generation from 7.0 GWh to 6.0 GWh per year."
single_project,FP090,What energy access problem does Output 3 address in the outer islands?,"Some outer islands have no central generation capacity or distribution network and rely on aging solar home systems and small petrol or diesel generators, which limits access, is unreliable, and causes high access costs."
single_project,FP090,How will Output 3 improve energy access on outer islands?,It will install renewable energy-based hybrid systems and mini-grids to provide a safe and secure electricity source on five outer islands.
single_project,FP090,How many staff will be trained on renewable energy technologies and power purchase agreements?,10
single_project,FP090,What economic co-benefit is expected from improved power access and reliability?,"Improved access to and reliability of power supply will help local businesses, especially in the outer islands."
single_project,FP090,What benefit is expected from reducing diesel-generated electricity?,Reducing or closing down diesel-generated electricity will reduce local air pollution and noise impacts on local communities.
single_project,FP090,How will the project reduce environmental damage from old batteries?,"It will remove old batteries from small islands, replace fragmented solar home systems with clean solar PV mini-grids, and centralize and properly manage batteries."
single_project,FP090,What social benefits are expected from increased electricity access on outer islands?,"Improved education, household income generation, reduced kerosene expenditure, lower fire risk from kerosene lighting, and reduced fuel wood consumption."
single_project,FP090,What gender benefit is linked to improved community lighting?,Improved community lighting increases safety and makes women more confident to attend social gatherings.
single_project,FP090,How will TREP support gender mainstreaming in energy development plans?,"TREP will make extensive efforts to involve women in project activities, building on experience where TPL brought 8 women out of 15 trained workers to project sites under OIREP."
single_project,FP102,How many rural localities are expected to receive isolated solar mini-grid systems in Mali?,50
single_project,FP102,What total mini-grid solar capacity is planned for the Mali rural electrification programme?,3.78 MW
single_project,FP102,What is the main objective of the project?,The main objective is to promote rural electrification through isolated solar photovoltaic systems as a low-carbon and resilient solution for Maliâ€™s energy sector.
single_project,FP102,Which public institutions will the project strengthen for rural electrification?,"AMADER, AER, and FER."
single_project,FP102,How many communities will gain access to electricity through isolated solar photovoltaic mini-grid systems?,70
single_project,FP102,What total solar photovoltaic mini-grid capacity will be installed?,4.83 MW
single_project,FP102,How much carbon dioxide emissions will the project avoid each year and over the equipment lifetime?,"41,049 tCO2 per year and 1,027,227 tCO2 over lifetime"
single_project,FP102,"How many direct beneficiaries are estimated, and what share are women?","310,698 inhabitants, 50% of whom are women."
single_project,FP102,How many new households will have access to rural electrification?,"31,000"
single_project,FP102,Why does the project have paradigm shift potential in Maliâ€™s rural electrification sector?,It shifts energy production from fossil fuels to renewable energy solutions and supports a more enabling regulatory and institutional framework for private sector participation.
single_project,FP102,What construction risk is identified for the mini-grid plants?,The identified construction risk is failure in the installation of equipment for the mini-grid plants.
single_project,FP102,How will the construction risk be mitigated?,"The risk will be mitigated by applying best practices in the selection process, choosing high-performance companies, and relying on AER technical teams supported by consulting engineers with experience supervising similar works."
single_project,FP102,How will operating and maintenance risk be mitigated?,"The project will use a 15-year operation and maintenance agreement, require a performance bond from the operator, and reduce risk through quality equipment choices during construction."
single_project,FP102,How will regulatory risk be mitigated?,Through implementation of Component 1 technical assistance activities.
single_project,FP102,How is the country security risk expected to improve?,"The security situation has improved, growth prospects are positive, and wider access to clean energy services is expected to support economic activity and make society feel safer."
single_project,FP102,How will the project change the investment environment for community-run energy systems?,"By developing mini-grids that outnumber existing installations and represent a significant share of Maliâ€™s installed capacity, the project is expected to increase confidence in community-run energy systems and permanently change the investment environment."
single_project,FP102,How many people are targeted to directly benefit from improved access to low-emission energy sources?,"At least 283,777"
single_project,FP102,What aspect of the policy and regulatory framework does the project aim to strengthen?,"Tariff regulation, for low-emission energy access and power generation."
single_project,FP102,How will the project check that climate change issues are address in all energy projects and enforced in projects implemented in Mali?,"National Energy Strategy and policy documents, EDM and AMADER annual reports"
single_project,FP102,What does Output 1 aim to strengthen?,The Rural Energy Regulatory Agency
single_project,FP102,What is the final target for the rural electrification Agency?,Fully functional rural electrification agency in place and produces contracts and supervision reports in line with industry standards
single_project,FP102,How many isolated solar PV plants are targeted for installation?,50
single_project,FP102,How many localities are targeted to benefit from PV installations?,50
single_project,FP102,What is the final target for megawatts produced by installed solar plants?,3.78
single_project,FP102,How will the project support private and public sector participation in clean energy?,"The project will create an enabling environment through capacity building, awareness raising, private sector engagement, technical assistance, a framework for AMADER to unlock private sector resources, and a financial guarantee mechanism for productive energy users."
single_project,FP102,How many households are targeted to connect to clean solar energy?,"28,378"
single_project,FP102,What share of connected households is targeted to access the guarantee scheme for productive use of clean energy?,10%
single_project,FP102,What environmental co-benefits are expected from the project?,"Reduced air pollution from fossil fuel consumption, improved air quality through renewable energy promotion, reduced greenhouse gas emissions, and reduced waste oil pollution at thermal power plants."
single_project,FP102,What is the final target for emissions reduced or avoided under the main mitigation indicator?,"821,782 tCO2eq."
single_project,FP102,What is the final target for cost per ton of carbon dioxide equivalent?,31.6 EUR/tCO2eq
single_project,FP102,How will the project improve health and hygiene conditions for local populations?,"Through better indoor lighting, decreased air pollution, reduced distances to access energy services or resources, better sanitation, and increased availability of clean safe drinking water."
single_project,FP102,What social co-benefits are linked to public lighting and electricity access?,"Improved living conditions and comfort, increased safety from street or public lighting, longer electricity supply, better service and access rates for safety, and better conservation of pharmaceutical and food products."
single_project,FP102,What job creation targets are listed?,"600 permanent jobs and 1,500 temporary jobs."
single_project,FP102,What economic co-benefits are expected from the project?,"Increased socio-economic activities, improved household income levels, creation of income-generating activities, and emergence of manufacturing and processing industrial units."
single_project,FP102,How does the project address gender and youth inclusion?,"The project focuses on gender in ownership and management of energy service centres to ensure inclusion of all genders and youth, so livelihood improvements and other development benefits are shared fairly."
single_project,FP105,Which countries are initially targeted by the BOAD solar finance programme?,"Benin, Burkina Faso, Guinea-Bissau, Mali, Niger and Togo."
single_project,FP105,What technologies are the programme designed to scale up?,Solar technologies (PV and CSP).
single_project,FP105,How much new solar energy capacity is the programme expected to add?,215 MW
single_project,FP105,What increase in regional solar capacity did the programme expect to deliver?,4
single_project,FP105,What final target is set for GHG emissions reduced?,4.8 million tCO2eq.
single_project,FP105,What is the final amount of financing to be leveraged through the programme?,128.1 million EUR.
single_project,FP105,"How many solar projects is the programme expected to support?






",6
single_project,FP105,What is the target number of people that will get improved access to low-emission energy sources?,2900000
single_project,FP105,How many people from local private sector companies shall be trained and how many of those are women?,"300, including 75 women"
single_project,FP105,How will construction and operation risks be mitigated?,"Project construction risk will be mitigated by a thorough due diligence process led by the BOAD technical and financial experts, and by ensuring robust Engineering, Procurement and Construction contracts. Project operation risk will be mitigated by a thorough due diligence process led by the BOAD technical and financial experts and by ensuring robust O&M contracts."
single_project,FP105,How will environmental and social risks be mitigated?,"Environmental and social best practices will be applied by requiring all projects funded by the programme to follow BOAD environmental and social safeguard policies, standards and guidelines which are in line with GCFâ€™s ESS and gender standards."
single_project,FP106,What is the main purpose of the embedded generation programme in South Africa?,"The objective is to credit enhance the projects under the Programme, thereby creating an enabling environment for continued renewable energy investment by the private sector in South Africa"
single_project,FP106,How much new renewable energy capacity is the embedded generation programme expected to support?,330 MW
single_project,FP106,Why is South Africaâ€™s energy sector important for greenhouse gas emissions?,"The energy sector is the largest contributor to South Africaâ€™s greenhouse gas emissions, and the country produces more than 90% of its electricity mainly from coal."
single_project,FP106,What is the key objective of the Embedded Generation Investment Programme?,To help initial embedded generation renewable energy projects reach financial close and create a market for embedded generation in South Africa.
single_project,FP106,What direct annual emissions reduction is expected once all sub-projects are operational?,"17,794 tCO2eq"
single_project,FP106,How will off-taker repayment or default risk be mitigated?,"Off-taker credibility and creditworthiness will be assessed during due diligence, PPA direct agreements will provide lender step-in rights, a robust security package will be negotiated, and a debt service reserve account of at least six months will be included."
single_project,FP106,What energy resource risk is identified?,Lower wind availability or solar irradiation could affect the projectâ€™s ability to generate revenues.
single_project,FP106,What are the final capacity targets for solar and wind under the programme?,280 MW of solar and 50 MW of wind.
single_project,FP106,How many households will receive low-emission power?,"251,000"
single_project,FP106,What job creation co-benefits are expected?,"Socio economic benefits through employment from construction (ca. 1,732 jobs) and operation (ca. 167 long-term jobs per annum), in poor and underdeveloped areas of South Africa."
single_project,FP128,How many countries are included in the sustainable forestry fund's target geography?,9
single_project,FP128,What forest management certification standard is expected across the forestry investments?,Forest Stewardship Council (FSC) certification.
single_project,FP128,How many hectares of new forest area is the forestry fund expected to create under sustainable management?,"75,000 ha"
single_project,FP128,What is the main investment approach of the Arbaro Fund?,The fund invests in sustainable plantation forestry projects in emerging forestry markets in Latin America and Sub-Saharan Africa.
single_project,FP128,What are the key objectives of the Arbaro Fund?,"Provide climate change mitigation, close the sustainable timber supply gap, and support conservation efforts"
single_project,FP128,How much carbon dioxide is Arbaro estimated to sequester during its lifetime?,Up to 20 million tonnes
single_project,FP128,What average investment size and portfolio size does Arbaro target?,"Arbaro targets an average investment size of USD 10 million to USD 25 million per project, with a final portfolio of 8 to 12 underlying investments or portfolio companies."
single_project,FP128,What risk is associated with poor plantation performance?,"Inadequate planning, poor implementation of silvicultural measures, pests, and diseases can lead to poor growth and low-quality wood products, harming financial performance."
single_project,FP128,"How will Arbaro mitigate risks from poor growth, pests, and diseases?","Arbaro will use best silvicultural practices, proper species selection, high-quality planting materials, skilled staff supervision, pest and disease management programs, species diversification, and strict monitoring."
single_project,FP128,What are the final targets for new forest area and conservation area?,"75,000 hectares of new forest area and 15,000 hectares of conservation area."
single_project,FP128,How many formal jobs and people with improved livelihoods are targeted?,"5,000 formal jobs and 200,000 people with improved livelihoods."
single_project,FP138,What type of energy systems does the Senegal rural electrification project aim to deploy?,Solar mini-grids
single_project,FP138,How many isolated villages are targeted by the Senegal solar mini-grid project?,"1,000"
single_project,FP138,How many newly electrified rural households are expected to benefit from the project within 5 years?,"38,917"
single_project,FP138,What total solar PV mini-grid capacity was planned?,32 MW
single_project,FP138,What is the estimated annual emission reductions impact?,"45,098 tCO2"
single_project,FP138,What is the lifetime emissions reduction goal?,1.13 MtCO2
single_project,FP138,What is the number of additional vulnerable localities that shall be attributed to rural electrification operators?,"1,000"
single_project,FP138,What final target is set for MWh energy consumption from installed solar plants?,"74,879 MWh."
single_project,FP138,How many coupon-subsidized connections to PV mini-grids shall be distributed?,"2,548"
single_project,FP138,How will variable commercial risk be mitigated?,Sound market assessment and modular sizing of the proposed technical solutions should be tailored to the circumstances of each mini-grid in order to cater for power demand extension as per the growth in demand; over-sizing of photovoltaic panels & storage capacities shall be considered.
single_project,FP138,How will operations and maintenance risks be mitigated?,This risk will be mitigated by ensuring the choice of quality pieces of equipment at procurement & construction and that the concessions are awarded to entities that can demonstrate relevant experiences and/or capacity in the operation and maintenance of the implemented technologies.
single_project,FP140,Which sectors does the High Impact Programme target?,"Energy-intensive industries, non-fossil energy mining companies, agribusinesses and agribusiness value chains."
single_project,FP140,What financing innovation does the Programme introduce for high climate impact projects?,"The financing mechanism offered links the interest rate to financial performance, with the innovation being the link to climate and corporate governance performance."
single_project,FP140,How many corporate low-carbon gender-responsive strategies are expected to be developed?,17
single_project,FP140,How will the Programme mitigate the risk that might be caused by the limited capacity or experience of corporates to implement high impact technology projects and climate corporate governance?,"Technical assistance will focus on supporting corporates to identify high climate impact technologies, and to identify corporate low-carbon strategies. Detailed legal and technical due diligence will be carried out by the EBRD to develop robust and sustainable transition measures and CCG milestones, which will be covenanted in loan agreements."
single_project,FP140,"What is the projectâ€™s title, countries, accredited entity, sector, size, cost, and expected duration?","The project is titled â€œHigh Impact Programme for the Corporate Sector.â€ It covers Armenia, Jordan, Kazakhstan, Morocco, Serbia, Tunisia, and Uzbekistan. The accredited entity is the European Bank for Reconstruction and Development; the sector is private; the size is large; the cost is USD 1,016,890,000; the expected implementation period is 6 years; and the expected lifespan is 18 years."
single_project,FP140,Which sectors does the programme target?,"Energy-intensive industries, non-fossil energy mining companies, agribusinesses, and agribusiness value chains and related logistics"
single_project,FP140,What are the three components of the programme?,"High impact technologies identification and corporate low-carbon strategy development, Innovative financing for high climate impact projects, and Low-carbon sectoral roadmaps for high impact industries and knowledge sharing."
single_project,FP140,"How much financing will the programme provide, and how much comes from GCF concessional finance and grants?","USD 1,016.890 million, including USD 252.500 million in GCF concessional finance and USD 5.530 million in GCF grant funding."
single_project,FP140,What credit risk is identified for programme beneficiaries?,Inability of Programme beneficiaries (corporates) to service the loans..
single_project,FP140,How will the programme mitigate the risk that beneficiaries cannot service loans?,The EBRDâ€™s comprehensive due diligence and technical support are designed to assess the borrowerâ€™s ability to service the loan.
single_project,FP140,What social and environmental risk is identified?,"Beneficiaries may fail to comply with national regulations or EBRD and GCF environmental and social policy requirements, or may fail to manage project-level environmental and social risks and impacts."
single_project,FP140,How will environmental and social risks be managed?,"Each project will be appraised and structured under EBRDâ€™s Environmental and Social Management System, Environmental and Social Action Plans will be developed during appraisal, and implementation will be covenanted and monitored."
single_project,FP140,What is the final target for corporate low-carbon gender-responsive strategies?,17 strategies developed and 17 strategies implemented.
single_project,FP140,"What are the final targets for emissions reductions in energy access and in buildings, cities, industries, and appliances?","1,722,000 tCO2eq in energy access and power generation, and 15,498,000 tCO2eq in buildings, cities, industries, and appliances."
single_project,FP148,What climate and energy access problem does the project address in Sub-Saharan Africa?,"The lack of electricity and clean cooking access in Sub-Saharan Africa, which causes reliance on kerosene, diesel generators, firewood, and traditional fuels, contributing to emissions, deforestation, and indoor air pollution."
single_project,FP148,What is the Energy Access Relief Facility intended to provide?,"The Energy Access Relief Facility is intended to provide energy access companies with vital liquidity during the COVID-19 crisis through low-interest, unsecured junior loans."
single_project,FP148,What management or governance risk is identified for companies receiving EARF loans?,"Companies receiving EARF loans may have inefficient management or governance structures, which could lead to ineffective decision-making and improper use of funds."
single_project,FP148,How will the facility manager mitigate management and governance risks?,"The facility manager will use credit due diligence, review ownership and governance structures, interview senior management, advise borrowers to correct weaknesses, include strong covenants, and restrict major ownership changes."
single_project,FP148,What credit risk is associated with companies receiving EARF loans?,"Companies that receive EARF loans may fail to partially or fully repay their obligations, either on-time or at all."
single_project,FP148,How will repayment risks be prevented?,SIMA intends to conduct a thorough due diligence in order to evaluate the financial capacity and reputation of eligible companies.
single_project,FP148,What is the final target for households and individuals with improved access to low-emission energy sources?,"2,970,953 households and 16,340,243 individuals."
single_project,FP148,What is the final target for jobs maintained by concessional finance?,"11,700"
single_project,FP148,What kind of financial instrument is used to help energy access companies survive a crisis and keep serving customers?,"Low-interest, unsecured junior loans through a concessional debt relief facility."
single_project,FP148,How many households are expected to gain improved access to low-emission energy sources through the energy access relief programme?,"2,970,953 households."
single_project,FP148,"If relief funding helps retain clean-energy sales staff during a crisis, can that preserve future emissions reductions?",Yes. Retaining staff and keeping companies solvent was expected to prevent lost renewable energy sales and avoid a return to fossil-fuel use.
single_project,FP163,Which initial countries are included in Phase 1 of the SRMI Facility?,"Botswana, Central African Republic, Democratic Republic of Congo, Kenya, Mali, Namibia and Uzbekistan."
single_project,FP163,What renewable energy technologies does the SRMI Facility directly support?,"Solar PV, CSP, and onshore wind."
single_project,FP163,How much renewable energy capacity will the SRMI Facility directly support?,2.5 GW
single_project,FP163,How much solar PV capacity will the facility directly support?,1.8 GW
single_project,FP163,What is the low-emission energy capacity to be installed at the end of the project?,"2,035.0 MW."
single_project,FP163,How many people are expected to gain access to clean low-emission electricity?,4.2 million people.
single_project,FP163,What is the target number of households with improved access to low-emission energy sources?,"840,000 households."
single_project,FP163,What final target is set for individuals with improved access to low-emission energy sources?,"4,200,000 individuals."
single_project,FP163,How much private investment is the SRMI Facility expected to unlock?,3.3 billion USD
single_project,FP163,What final target is set for solar and wind parks ready for tendering?,5
single_project,FP163,How will governance and regulatory risks be mitigated?,"The World Bank team is working closely with the different Governments to ensure the sustainability and relevance of the projects to the given country. In general, good governance of the projects will be ensured by the adoption of transparency, accountability and participation principles and attention to fraud, corruption and other unethical practices."
single_project,FP163,How will the risk of renewable energy projects not materializing be mitigated?,"The World Bank is supporting the proposed seven countries in their selection of the private investors. For the countries with limited capacity, larger capacity building components will be provided with additional external support for project implementation."
single_project,FP178,What type of renewable generation is the G5 Sahel facility primarily designed to scale up?,Solar power.
single_project,FP178,Why would a partial risk guarantee make utility-scale solar projects more bankable in fragile markets?,"A partial risk guarantee of US$ 40 million is introduced as a feature to facilitate the bankability of the IPP projects, designed to improve the credit and risk profile of the off takers. The PRG will support the payment obligations of the off-takers to the IPPs for approximate duration of 6 months, providing the off-takers with the temporary liquidity as they sort-out their cash-flow situation. The PRG is also intended to support the IPPs in developing a dependable track-record in dealing with the private sector in the long-run."
single_project,FP178,What countries are included in the G5 Sahel Facility?,"Burkina Faso, Chad, Mali, Mauritania, and Niger."
single_project,FP178,What solar generation capacity is the facility expected to add?,500 MW
single_project,FP178,How many people are expected to directly benefit from the facility?,3.5 million people.
single_project,FP178,How many women are expected to directly benefit from the facility?,1.75 million are women.
single_project,FP178,What utility-scale storage target is set under the facility?,239 MWh
single_project,FP178,How many grid-connected solar PV farms are targeted?,6
single_project,FP178,What is the value of the partial risk guarantee introduced to facilitate IPP bankability?,"40,000,000 USD"
single_project,FP178,How will the partial risk guarantee support off-takers?,"The PRG will support the payment obligations of the off-takers to the IPPs for approximate duration of 6 months, providing the off-takers with the temporary liquidity as they sort-out their cash-flow situation."
single_project,FP178,How will foreign exchange risks related to PPAs be mitigated?,"A take or pay feature in the price; the possibility to revise the tariff in the event of major FX fluctuations; and a bank guarantee provided by the off taker which can cover up to 3 months of payments, extended to 6 months with the support of a PRG."
single_project,FP193,What type of businesses will the Amazon EBBF invest in to support sustainable forest management and conservation?,Eco bio businesses (EBBs) supporting the sustainable management and conservation of Peruvian forests.
single_project,FP193,How many eco bio businesses is the facility expected to support during the project lifetime?,Up to 75+ EBBs focused on forest-based products and services.
single_project,FP193,How many EBBs are expected to receive seed funding from GCF-funded activities?,55 EBBs
single_project,FP193,Which Peruvian regions will the EBBF prioritize?,"Amazonas, San Martin, Cusco, Puno, Loreto and Madre de Dios."
single_project,FP193,How many hectares of forest are expected to be prevented from deforestation by EBBF GCF-funded activities?,"8,602"
single_project,FP193,What is the estimated lifetime GHG emissions avoided by the EBBF?,"3,806,936 tCO2eq"
single_project,FP193,What is the annual emissions reduction estimate for the EBBF?,"190,346 tCO2eq"
single_project,FP193,What is the final target for hectares of forest under sustainable land use practices proposed by the project?,"81,464.50"
single_project,FP193,What is the project lifetime estimate for hectares under improved low-emission or climate-resilient management practice?,"162,929"
single_project,FP193,What cost per tonne of CO2 equivalent is estimated for the EBBF?,2.63 USD / t CO2eq
single_project,FP193,What form of seed funding will the EBBF provide to EBBs?,Repayable grants
single_project,FP193,How many EBBs are expected to access new national or international markets?,15
single_project,FP193,What is the targeted increase in EBB sales from baseline level?,0.02
single_project,FP193,What is the final target for total new green jobs created?,550
single_project,FP193,What is the final target for new green jobs for women?,165
single_project,FP193,How many people are expected to be indirectly supported through EBB employeesâ€™ households or increased economic activity?,"2,200"
single_project,FP193,What proportion of the Amazon biome forests are expected to be covered at the end of the project by the monitoring module including deforestation and forest degradation?,100%
single_project,FP193,What is the baseline status of the Forest Reference Emission Level for the Amazon biome including degradation?,Only the FREL for deforestation is available for the Amazon.
single_project,FP193,How many national regulations informed by the Forest Emissions Reference Level Report are expected by the project?,2
single_project,FP193,What role will the innovation partner play for EBBs?,Provide technical support to incubate and accelerate EBBs.
single_project,FP193,"What repayment rates apply to Early, Medium, and Advanced EBB grant categories?","25%, 50% and 65% for Early, Medium, and Advanced respectively."
single_project,FP193,What happens to funds repaid from EBB reimbursable grants?,The repaid funds received from the repayment of the reimbursable grants to the EBBF will be reused following the same procedures as for the initial grant award.
single_project,FP193,How will risks from inadequate agroforestry planning and pests or disease be mitigated?,"The EBBFâ€™s investment screening process shall prioritize projects adopting international best practices for agroforestry practices and others. Selected projects shall have the capacity to implement best practices from the planning phase, with proper selection of species for the given site conditions, definition of operations for selected species and production targets, and acquisition of high-quality planting materials. Eligible expenses of EBBF grants shall include pest and disease management programs, including preventive measures such as species diversification. Finally, plantation investments will be strictly monitored by the FMU to identify deviations from the original plan and develop mitigation measures."
single_project,FP193,"How will risks from floods, storms, wildfires and other natural shocks be addressed?","Management practices such as species diversification and good-quality management practices can reduce the vulnerability of forest-based projects against extreme climate events. Investee projects will require to implement proper fire management strategies, focusing on preventive measures and contingency plans. The risk of fire events will be managed as well through proactive social strategies, targeting cooperation and aligning interests with local communities, through employment generation, enhancement of livelihoods and promotion of out-grower schemes, as well as fire awareness campaigns."
single_project,FP193,How will the facility reduce risks from sudden decreases in demand or prices for EBB products and services?,"The EBBF will prioritize investment in EBBs with products and services in growing demand from both domestic and international markets. EBBF will seek an adequate level of diversification in its portfolio in terms of products, services, geographies, export markets and target customers."
single_project,FP193,How will the project alleviate governance risk from insufficient coordination between MINAM and PROFONANPE?,"MINAM and PROFONANPE have a long track record of working closely to deliver complex programmes and projects. The EBBF Board will consist of representatives from both organizations to ensure effective coordination, communication and management. It will also be responsible to identify and monitor programme-level risks and suggest corrective actions."
single_project,FP193,"Across the risks from agroforestry underperformance, natural shocks, and market demand changes, what risk ratings are stated?","Agroforestry underperformance: Probability medium, Impact medium. Natural shocks: Probability medium, Impact low. Market demand changes: Probability low, Impact medium."
single_project,FP193,What environmental co-benefit is expected from afforesting or reforesting degraded landscapes?,"Besides creating additional carbon sinks, sustainably managed forests help to regulate soils and water flows. For example, by preventing soil erosion and water run offs, forests contribute to halt the detrimental effects of land degradation."
single_project,FP193,How can the project reduce pressure on natural forests in Peru?,By generating alternative employment opportunities
single_project,FP193,How will the project support access to social services?,The project will support the formalization of labor in areas dominated by informal employment relations. This will allow people employed under the project to benefit from wider social services like public social security or health insurances.
single_project,FP196,What mitigation action does Indonesiaâ€™s NDC recognize as key for the energy sector transition?,Energy efficiency.
single_project,FP196,What three chronic barriers does the Indonesia industrial energy efficiency programme aim to address?,"Financial, regulatory, and technical barriers."
single_project,FP196,What solution package does the programme propose for industrial energy efficiency financing?,"Innovative energy efficiency financing schemes equipped with de-risking mechanisms, a supportive regulatory framework, and technical assistance."
single_project,FP196,What is the programmeâ€™s final target for annual energy savings?,"10,065 GWh"
single_project,FP196,"What is the programmeâ€™s final target for GHG emissions reduced, avoided or removed?","2,825 MtCO2eq"
single_project,FP196,How many local financial institutions are expected to participate in the programme?,6
single_project,FP196,How many projects are expected to be approved by local financial institutions?,20
single_project,FP196,What volume of final-beneficiary sub-project lending is targeted?,"133,000,000 USD"
single_project,FP196,What volume of GCF credit guarantee disbursement is targeted?,"100,000,000 USD"
single_project,FP196,Which five industrial subsectors are identified as priority areas for energy efficiency financing?,"Food and beverage, textiles and apparel, pulp and paper and wood, chemical and petrochemicals, non-metallic minerals."
single_project,FP196,What mechanism does Component 1 use to backstop credit risk for local financial institutionsâ€™ own loans?,GCF credit guarantee provision.
single_project,FP196,What locally customised financing mechanisms is Component 2 intended to generate?,ESI / ESCO financing mechanisms.
single_project,FP196,Is Component 2 a financing component for individual projects?,No.
single_project,FP196,What is Component 3 intended to build for local stakeholders?,Successful energy finance with balanced roles of stakeholders
single_project,FP196,Which stakeholder groups are included in Component 3 capacity building?,"Financial institutions, industry players, government authorities, and neighboring countries."
single_project,FP196,What is the final target for documented ESI / ESCO schemes?,1
single_project,FP196,How many documented policy recommendations are expected to strengthen the regulatory framework?,1
single_project,FP196,How many ASEAN pilot projects are expected under the programme?,2
single_project,FP196,How many workshops are planned for ASEAN replication knowledge sharing?,5
single_project,FP196,How many participants are targeted for ASEAN replication knowledge-sharing workshops?,100
single_project,FP196,What is the final target for new energy efficiency jobs created?,600
single_project,FP196,What percentage of financed beneficiaries is targeted for womenâ€™s access to energy efficiency finance?,30
single_project,FP196,What is the final target for gender capacity building trainings?,10
single_project,FP196,How will technical and operational risks from end beneficiariesâ€™ limited knowledge be mitigated?,The eligibility criteria require local FIs and their borrowers to carry out a technical assessment on underlying projects and demonstrate a concrete O&M plan over the borrowing lifespan; the Programme also provides support for a technical assessment of vulnerable local beneficiaries under Component 3.
single_project,FP196,"Across the credit and forex risk entries, what risk ratings are stated?","Credit risk: probability low, impact medium. Forex risk: probability low, impact high."
single_project,FP196,How will the programme mitigate governance risk from relying on local financial institutions to select and manage sub-projects?,"Partner FIs selection has been cautiously done with many rounds of discussions, including a firm institutional commitment to the GCF and KDB policies and guidelines. A partial guarantee coverage arrangement is used to align FIsâ€™ interest with that of the GCF and KDB. The Programme also puts multi-level contractual and institutional arrangements in place, including eligibility criteria, the Sub-Project Loan Agreement aligned with the FAA, and the operation of the PIU."
single_project,FP196,How will the programme mitigate foreign-exchange risk between IDR loans and the USD-denominated GCF guarantee?,The GCF Credit Guarantee will be designed so that the F/X risk is partially absorbed by the GCF and F/X risk not absorbed by GCF is borne by local FIs; F/X risk will be regularly monitored and managed by a professional Guarantee Advisor employed by KDB.
single_project,FP196,How will the programme mitigate regulatory-barrier risk in Indonesiaâ€™s industrial energy efficiency sector?,The Programme is aiming to minimize this risk through Activity 3.3 under Component 3. It also has a structure that enables successful programme implementation without prompt policy and regulation improvement through GCF guarantee cover and de-risking scheme development.
single_project,FP196,What legal arrangements will be used to reduce risks from jurisdiction discrepancies across programme agreements?,"Definitive agreements where KDB is a contracting party are to be governed under English Law, with disputes resolved by arbitration administered by the Singapore International Arbitration Centre; sub-project loan agreements are likely to be governed by Indonesian law, and all legal agreements will be carried out with support and advice from qualified independent legal advisors."
single_project,FP196,What risk ratings and mitigation measures are stated for the money laundering / financing terrorism risk?,"Probability low; impact high. Mitigation includes selecting FIs through KDB capacity assessment including AML/CFT assessment, requiring final beneficiaries to undergo due diligence according to the Sub-Project Loan Agreement, relying on Indonesiaâ€™s national regulatory system for financial institutions, screening and monitoring final beneficiariesâ€™ activities, and monitoring Components 2 and 3 activities in line with ACE internal regulations agreed by KDB."
cross_projects,FP019 | FP033 | FP039 | FP063 | FP064 | FP071 | FP080 | FP081 | FP083 | FP090 | FP102 | FP105 | FP106 | FP128 | FP138 | FP140 | FP148 | FP163 | FP178 | FP193 | FP196,What are the main risk categories in mitigation projects?,"Operational, social and environmental, financial, governance, legal, credit, foreign exchange, sanctions, prohibited practices, and other risks."
cross_projects,FP019 | FP033 | FP039 | FP063 | FP071 | FP083 | FP090 | FP102 | FP106 | FP138 | FP140 | FP163 | FP178 | FP193 | FP196,Which KPIs should I choose if my project has both climate and social benefits?,"Choose KPIs for emissions reduction, renewable energy capacity, clean energy access, jobs, beneficiaries, training, and finance leveraged."
